@RELATION states.csv
@ATTRIBUTE avgAlt REAL
@ATTRIBUTE maxAlt REAL
@ATTRIBUTE curAlt REAL
@ATTRIBUTE fov REAL
@ATTRIBUTE lastAction {explore, shoot, idle}
@ATTRIBUTE life REAL
@ATTRIBUTE class {INSIGHT, NOTINSIGHT}

@DATA
-116.72096,-104.4625,-109.94327,17417.297,explore,6,NOTINSIGHT
-116.49713,-104.4625,-109.29725,17303.045,explore,6,NOTINSIGHT
-116.45456,-103.639046,-108.79035,17224.523,explore,6,NOTINSIGHT
-115.91998,-102.75799,-108.19274,17523.566,explore,6,NOTINSIGHT
-115.95733,-102.75799,-108.19274,17460.615,explore,6,NOTINSIGHT
-115.7202,-103.2097,-108.16732,17500.6,explore,6,NOTINSIGHT
-115.59674,-102.89163,-108.21413,17472.355,explore,6,NOTINSIGHT
-115.41818,-102.89163,-108.39865,17665.746,explore,6,NOTINSIGHT
-115.40129,-103.75871,-108.39865,17564.852,explore,6,NOTINSIGHT
-115.22848,-102.41594,-108.33558,17595.127,explore,6,NOTINSIGHT
-115.07203,-103.288,-107.684784,17569.064,explore,6,NOTINSIGHT
-115.07203,-103.288,-107.684784,17569.064,explore,6,NOTINSIGHT
-123.32862,-102.35753,-120.13105,17556.154,explore,6,NOTINSIGHT
-117.72505,-104.192825,-113.62738,17562.783,explore,6,NOTINSIGHT
-117.52638,-104.54574,-113.53575,17673.586,explore,6,NOTINSIGHT
-117.52638,-104.54574,-113.53575,17673.586,explore,6,NOTINSIGHT
-117.41975,-105.12429,-113.582016,17812.277,explore,6,NOTINSIGHT
-117.47184,-105.73304,-113.77526,17913.9,explore,6,NOTINSIGHT
-117.218056,-105.73304,-113.39329,17799.633,explore,6,NOTINSIGHT
-117.21476,-105.50561,-113.39329,17797.799,explore,6,NOTINSIGHT
-116.90815,-104.79629,-112.74244,17529.307,explore,6,NOTINSIGHT
-116.738686,-104.34004,-112.23079,17429.545,explore,6,NOTINSIGHT
-116.59474,-104.34004,-111.85432,17381.988,explore,6,NOTINSIGHT
